KEY;default;dk;de;nl;si;no;se;fi;lt;fr;it;gr;pl;es;pt
adas.dss.0_0_4.name;IPM Decisions;IPM Decisions;IPM Decisions;IPM-Decisions;IPM Decisions;;;;;;;;;;
adas.dss.0_0_4.models.CARPPO.description;"THE PEST: Codling moth [Cydia pomonella] cause damage to fruit of apples, pears and other pome fruit. Larvae emerge from eggs laid on the surface of the fruit, and burrow inside. The surface blemish can reduce the value of fruit, internal damage renders the fruit unsellable.

THE DECISION: The DSS predicts the start of adult codling moth flight, enabling users to undertake targeted monitoring and/or mitigating actions to reduce the risk of damage to the crop. Typically interventions are more effective at the start of male flight, rather than at peak flight periods.   
THE MODEL: A 3-paramater non-linear regression model fits cumulative moth captures as a function of accumulated day degrees (Biofix 1st January) for all three of the male flights. The model predicts that 1st migration begins after 151 day degrees, 2nd migration begins after 673 day degrees, and 3rd migration begins after 1303 day degrees. The start of migration events are reported in the DSS warnings to the user. 
REGION: This DSS was adapted from work carried out in Greece, and is considered applicable, but not yet validated in,  Albania, Romania, Bosnia, Croatia, Italy, Macedonia, Montenegro, Portugal, San Marino, Slovenia, Slovakia, and Spain
THE PARAMETERS: The model uses Minimum and maximum temperature from the 1st of January.
SOURCE: Aristotle University, Greece. 
ASSUMPTIONS: There may be three flight periods in southern Europe, one or two in northern Europe. Predict flight does not relate to numbers of codling moth, or scale of damage caused.Where flight periods overlap, the highest current risk of new migration will be reported. 
REFERENCE: Damos et al. (2018) Bulletin of Insectology 71, 131-142 ";"SKADEDYRET: Æblevikler (Cydia pomonella) forårsager skade på frugt af æbler, pærer og anden kernefrugt. Larver kommer ud af æg lagt på overfladen af frugten og graver sig ind. Den resulterende skade kan reducere værdien af frugt eller gøre frugten usælgelig.

BESLUTNING: Denne DSS forudsiger starten for flyvning af voksne møl og gør brugeren i stand til at foretage målrettet monitering og/eller indgreb for at reducere risikoen for skade på afgrøden. Typisk er indgreb mere effektive i starten af hannens flyvning, snarere end hvor der er mest flyvning.
MODELLEN: En 3-parameter ikke-lineær regressionsmodel fitter den kumulative fangst af møl, som en funktion af akkumulerede graddage (Biofix 1. januar) for alle tre af hannens flyvninger. Modellen forudsiger at den første flyvning begynder efter 152 graddage, anden flyvning efter 673 dage og tredje flyvning efter 1303 graddage. Starten på migrationsbegivenheder er rapporteret i de advarsler som DSS sender til brugeren.
REGION: Denne DSS er adapteret fra arbejde lavet i Grækenland og anset som relevant, men ikke valideret, i Albanien, Romanien, Bosnien, Kroatien, Italien, Makadonien, Montenegro, Portugal, San Marino, Slovenien, Slovakiet og Spanien.
PARAMETRE: Modellen bruger minimums- og maksimumtemperatur fra 1. januar. 
KILDE: Aristoteles Universitet, Grækenland.
Antagelser: Der kan være tre flyveperioder i Sydeuropa, en eller to i Nordeuropa. Den forventede flyvning vedrører ikke antallet af æbleviklere eller omfanget af de forvoldte skader. Der hvor flyveperioder overlapper bliver den højeste nuværende risiko for ny flyvning rapporteret.
REFERENCE: Damos et al. (2018) Bulletin of Insectology 71, 131-142.";"SCHADERREGER: Der Apfelwickler [Cydia pomonella] schädigt die Früchte von Äpfeln, Birnen und anderem Kernobst. Die Larven schlüpfen aus Eiern, die auf der Oberfläche der Früchte abgelegt werden, und bohren sich ins Innere ein. Der Oberflächenschaden kann den Wert der Früchte mindern, der innere Schaden macht die Früchte unverkäuflich.

ENTSCHEIDUNG: Das EHS sagt den Beginn des Flugs der erwachsenen Apfelwickler voraus und ermöglicht es den Nutzern, gezielte Überwachungs- und/oder Bekämpfungsmaßnahmen zu ergreifen, um das Risiko von Schäden an der Ernte zu verringern. In der Regel sind Maßnahmen zu Beginn des Flugs der Männchen wirksamer als zu den Hauptflugzeiten.   
MODELL: Ein nicht-lineares 3-Parameter-Regressionsmodell passt die kumulativen Falterfänge als Funktion der akkumulierten Gradtage (Biofix 1. Januar) für alle drei Männerflüge an. Das Modell sagt voraus, dass die erste Wanderung nach 151 Gradtagen, die zweite Wanderung nach 673 Gradtagen und die dritte Wanderung nach 1303 Gradtagen beginnt. Der Beginn der Wanderungen wird in den EHS-Warnungen dem Benutzer angegeben.  
REGION: Dieses EHS basiert auf Arbeiten, die in Griechenland durchgeführt wurden, es gilt als anwendbar, wurde aber z.B. noch nicht in Albanien, Rumänien, Bosnien, Kroatien, Italien, Mazedonien, Montenegro, Portugal, San Marino, Slowenien, der Slowakei und Spanien validiert.
PARAMETER: Das Modell verwendet die Mindest- und Höchsttemperatur ab dem 1. Januar.
QUELLE: Aristoteles-Universität, Griechenland. 
ANNAHMEN: In Südeuropa kann es drei Flugperioden geben, in Nordeuropa eine oder zwei. Die 
Flugvorhersage steht in keinem Zusammenhang mit der Anzahl der Apfelwickler oder dem Ausmaß der verursachten Schäden. Wenn sich die Flugperioden überschneiden, wird das höchste aktuelle Risiko eines erneuten Zufluges angegeben. 
REFERENZ: Damos et al. (2018) Bulletin of Insectology 71, 131-142 ";"DE PLAAG: De fruitmot (Cydia pomonella) veroorzaakt schade aan appels, peren en ander pitfruit. De larven komen uit eitjes die op het oppervlak van het fruit zijn gelegd en graven zich in. De daaruit voortvloeiende schade kan de waarde van het fruit verminderen of het fruit onverkoopbaar maken.  
DE BESLISSING: Het BOS voorspelt het begin van de vlucht van volwassen fruitmotten, zodat gebruikers gerichte monitoring en/of bestrijdingsmaatregelen kunnen nemen om het risico op schade aan het gewas te verminderen. Interventies zijn doeltreffender bij het begin van de vlucht van de mannetjes, dan tijdens de piekvluchtperiodes.  
HET MODEL: Een niet-lineair regressiemodel met 3 parameters past de cumulatieve motvangsten aan als functie van de geaccumuleerde daggraden voor alle drie de vluchten van de mannetjes. 
DE PARAMETERS: Het model maakt gebruik van minimum- en maximumtemperaturen vanaf 1 januari. 
BRON: Aristoteles Universiteit, Griekenland. 
AANNAMES: Er kunnen drie vluchtperioden zijn in Zuid-Europa, één of twee in Noord-Europa. De voorspelde vlucht houdt geen verband met het aantal fruitmotten of de omvang van de aangerichte schade. Wanneer de vluchtperioden elkaar overlappen, zal het hoogste actuele risico van de nieuwe migratie worden gemeld. 
";"ŠKODLJIV ORGANIZEM: Jabolčni zavijač (Cydia pomonella) povzroča škodo na plodovih jabolk, hrušk in drugega pečkatega sadja. Ličinke se izležejo iz jajčec, ki so odložena na površino sadja, in se zavrtajo v notranjost. Posledična škoda lahko zmanjša vrednost sadja ali povzroči, da ga ni mogoče prodati. 
ODLOČITEV: Sistem DSS napoveduje začetek letenja odraslih osebkov jabolčnega zavijača, kar uporabnikom omogoča usmerjeno spremljanje in/ali omilitvene ukrepe za zmanjšanje tveganja škode na pridelku. Običajno so posegi učinkovitejši na začetku leta samcev in ne v času vrhunca letenja.
MODEL: 3-parametrski nelinearni regresijski model ustreza kumulativnemu ulovu jabolčnih zavijačev kot funkciji komulativnih stopinjskih dni za vse tri lete samcev.
REGIJA: Ta DSS je bil prilagojen na podlagi dela, opravljenega v Grčiji, in velja za uporabnega, vendar še ni potrjen v Albaniji, Romuniji, Bosni, Hrvaški, Italiji, Makedoniji, Črni gori, na Portugalskem, v San Marinu, Sloveniji, na Slovaškem in v Španiji.
PARAMETRI: Model uporablja najnižjo in najvišjo temperaturo od 1. januarja.
VIR: Aristotelova univerza, Grčija.
PREDPOSTAVKE: V južni Evropi so lahko tri obdobja letenja, v severni pa le eno ali dve. Predvideni let ni povezan s številom jabolčnih zavijačev ali obsegom povzročene škode. LITERATURA: Damos et al. (2018) Bulletin of Insectology 71, 131-142 ";;"SKADEGÖRAREN: Äpplevecklare [Cydia pomonella] orsakar skador på frukt av äpplen, päron och annan kärnfrukt. Larver kommer från ägg som läggs på fruktytan och de kan äta sig in i frukten. Ytfläckar minskar fruktens värde, medan inre skador gör frukten osäljbar.

BESLUTET: Beslutsstödsystemet förutsäger starten på flygning av vuxna vecklare, vilket gör det möjligt att utföra riktad övervakning och/eller åtgärder för att minska risken för skador på frukten. Insatser är oftast mest effektiva i början av flygning hos hanar, snarare än vid perioder med stor flygning.
MODELLEN: En icke-linjär regressionsmodell med 3 parametrar beräknar kumulativa nattfångster som en funktion av ackumulerade dagsgrader (Biofix 1 januari) för alla tre flygningar av hannar. Modellen antar att den första migrationen börjar efter 151 daggrader, den andra migrationen börjar efter 673 daggrader och den tredje migrationen börjar efter 1303 daggrader. Starten av migreringshändelser rapporteras i DSS-varningarna till användaren.
REGION: Detta DSS har anpassats baserat på undersökningar gjorda i Grekland och anses användbart, men är ännu inte validerat, i Albanien, Rumänien, Bosnien, Kroatien, Italien, Makedonien, Montenegro, Portugal, San Marino, Slovenien, Slovakien och Spanien
PARAMETRARNA: Modellen använder min- och maxtemperatur från den 1 januari.
KÄLLA: Aristoteles universitet, Grekland.
ANTAGANDEN: Tre flygperioder kan förekomma i södra Europa, och en eller två i norra Europa. De beräknade flygningarna relaterar inte till antalet äpplevecklare eller omfattningen av orsakad skada. Där flygperioder överlappar, kommer den högsta aktuella risken för ny migration att rapporteras.
REFERENS: Damos et al. (2018) Bulletin of Insectology 71, 131-142";;;"LE RAVAGEUR : Le carpocapse de la pomme [Cydia pomonella] cause des dommages aux fruits des pommes, des poires et autres fruits à pépins. Les larves émergent des œufs pondus à la surface du fruit et s'enfoncent à l'intérieur. Les taches superficielles peuvent réduire la valeur du fruit, les dommages internes rendent le fruit invendable.



LA DÉCISION : L'OAD prédit le début du vol des adultes du carpocapse, permettant aux utilisateurs d'entreprendre des actions ciblées de surveillance et/ou d'atténuation pour réduire le risque de dommages à la culture. En général, les interventions sont plus efficaces au début du vol des mâles, plutôt qu'aux périodes de pic de vol.  

LE MODÈLE : Un modèle de régression non linéaire à 3 paramètres permet d'ajuster les captures cumulées de papillons en fonction des degrés-jours accumulés (Biofix 1er janvier) pour les trois vols de mâles. Le modèle prédit que la première migration commence après 151 degrés-jour, la deuxième après 673 degrés-jour et la troisième après 1303 degrés-jour. Les événements de début de migration sont signalés à l'utilisateur dans les avertissements de l'OAD.

RÉGION : Cet OAD a été adapté à partir de travaux effectués en Grèce, et est considéré comme applicable, mais pas encore validé, en Albanie, Roumanie, Bosnie, Croatie, Italie, Macédoine, Monténégro, Portugal, Saint-Marin, Slovénie, Slovaquie et Espagne.

LES PARAMÈTRES : Le modèle utilise la température minimale et maximale du 1er janvier.

SOURCE : Université Aristote, Grèce.

HYPOTHÈSES : Il peut y avoir trois périodes de vol en Europe du Sud, une ou deux en Europe du Nord. Lorsque les périodes de vol se chevauchent, le risque actuel le plus élevé de nouvelle migration sera signalé.

RÉFÉRENCE : Damos et al. (2018) Bulletin of Insectology 71, 131-142 ";"""Il parassita: la carpocapsa del melo (Cydia pomonella) causa danni ai frutti di mele, pere e altre pomacee. Le larve emergono dalle uova deposte sulla superficie del frutto e scavano all'interno. I danni che ne derivano possono ridurre il valore dei frutti o renderli invendibili.
  
LA DECISIONE:  Il DSS prevede l'inizio del volo degli adulti di tignola, consentendo agli utenti di intraprendere un monitoraggio mirato e/o azioni di mitigazione per ridurre il rischio di danni alle colture. In genere gli interventi sono più efficaci all'inizio del volo dei maschi, piuttosto che nei periodi di picco.  

IL MODELLO: un modello di regressione non lineare a 3 parametri si adatta alle catture cumulative di tarme in funzione dei gradi-giorno accumulati per tutti e tre i voli maschili.

Un modello di regressione non lineare a 3 parametri adatta le catture cumulative di falene in funzione dei gradi giorno accumulati (Biofix 1 gennaio) per tutti e tre i voli maschili. Il modello prevede che la prima migrazione inizi dopo 151 gradi giorno, la seconda dopo 673 gradi giorno e la terza dopo 1303 gradi giorno. Gli eventi di inizio migrazione sono riportati negli avvisi del DSS per l'utente. 

 
I PARAMETRI: il modello utilizza le temperature minime e massime dal 1° gennaio. 
FONTE: Università Aristotele, Grecia. 
ASSUNZIONE: Ci possono essere tre periodi di volo nell'Europa meridionale, uno o due nell'Europa settentrionale. Il volo previsto non è correlato al numero di carpocapse del melo o all'entità dei danni causati. Quando i periodi di volo si sovrappongono, verrà segnalato il rischio attuale più elevato di nuove migrazioni. 

RIFERIMENTI: Damos et al. (2018) Bulletin of Insectology 71, 131-142 ";"Ο ΕΧΘΡΟΣ: Η καρπόκαψα της μηλιάς [Cydia pomonella] προκαλεί ζημιές στους καρπούς των μήλων, των αχλαδιών και άλλων πυρηνόκαρπων φρούτων. Οι προνύμφες βγαίνουν από αυγά που τοποθετούνται στην επιφάνεια του καρπού και σκάβουν στο εσωτερικό του. Η επιφανειακή αλλοίωση μπορεί να μειώσει την αξία του καρπού, ενώ οι εσωτερικές ζημιές καθιστούν τον καρπό μη εμπορεύσιμο.

Η ΑΠΟΦΑΣΗ: Το DSS προβλέπει την έναρξη της πτήσης του ενήλικου, επιτρέποντας στους χρήστες να αναλάβουν στοχευμένη παρακολούθηση ή/και ενέργειες μετριασμού για τη μείωση του κινδύνου ζημιών στην καλλιέργεια. Συνήθως οι παρεμβάσεις είναι πιο αποτελεσματικές κατά την έναρξη της πτήσης των αρσενικών, παρά κατά τις περιόδους αιχμής της πτήσης. 
ΜΟΝΤΕΛΟ: Ένα μη γραμμικό μοντέλο παλινδρόμησης 3 παραμέτρων προσαρμόζει τις αθροιστικές συλλήψεις ατόμων καρπόκαψας ως συνάρτηση των συσσωρευμένων βαθμών ημέρας (Biofix 1η Ιανουαρίου) και για τις τρεις πτήσεις των αρσενικών. Το μοντέλο προβλέπει ότι η 1η μετανάστευση αρχίζει μετά από 151 βαθμούς ημέρας, η 2η μετανάστευση αρχίζει μετά από 673 βαθμούς ημέρας και η 3η μετανάστευση αρχίζει μετά από 1303 βαθμούς ημέρας. Τα γεγονότα έναρξης της μετανάστευσης αναφέρονται στις προειδοποιήσεις του DSS προς τον χρήστη. 

ΠΕΡΙΟΧΗ: Αυτό το DSS προσαρμόστηκε από εργασίες που πραγματοποιήθηκαν στην Ελλάδα και θεωρείται ότι μπορεί να εφαρμοστεί, αλλά δεν έχει ακόμη επικυρωθεί, στην Αλβανία, Ρουμανία, Βοσνία, Κροατία, Ιταλία, Μακεδονία, Μαυροβούνιο, Πορτογαλία, Άγιο Μαρίνο, Σλοβενία, Σλοβακία και Ισπανία. 

ΠΑΡΑΜΕΤΡΟΙ: Το μοντέλο χρησιμοποιεί την ελάχιστη και τη μέγιστη θερμοκρασία από την 1η Ιανουαρίου. 

ΠΗΓΗ: Αριστοτέλειο Πανεπιστήμιο, Ελλάδα. 
ΥΠΟΘΕΣΕΙΣ: Μπορεί να υπάρχουν τρεις περίοδοι πτήσης στη νότια Ευρώπη, μία ή δύο στη βόρεια Ευρώπη. Η πρόβλεψη της πτήσης δεν σχετίζεται με τον αριθμό των ατόμων της καρπόκαψας της μηλιάς, ούτε με την κλίμακα των ζημιών που προκαλούνται. Όπου οι περίοδοι πτήσης επικαλύπτονται, θα αναφέρεται ο υψηλότερος τρέχων κίνδυνος νέας μετανάστευσης. 

ΑΝΑΦΟΡΑ: Damos et al. (2018) Bulletin of Insectology 71, 131-142";;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.modelId.description;Must be CARPPO;Skal være CARPPO;Muss CARPPO sein;Moet CARPPO zijn;Mora biti CARPPO;;Måste vara CARPO;;;Doit être CARPPO;Deve essere CARPPO;Πρέπει να είναι CARPPO;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.modelId.title;Model Id;Model-id;Modell-ID;Model Id;ID modela;;Modell ID;;;Modèle Id;Modello Id;Μοντέλο ID;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.endDate.title;Model End Date (YYYY-MM-DD);Model Slutdato (ÅÅÅÅ-MM-DD);Modell-Enddatum (JJJJ-MM-TT);Einddatum model;Končni datum modela (DD-MM-LLLL);;Modellens slutdatum (ÅÅÅÅ-MM-DD);;;Date de fin du modèle (AAAA-MM-JJ);Data fine Modello (AAAA-MM-GG);Ημερομηνία λήξης μοντέλου ( ΕΕΕΕ-ΜΜ-ΗΗ);;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.firstFlight_a.title;First Flight: Parameter a;Første flyvning: Parameter a;Erster Flug: Parameter a;Eerste vlucht: Parameter a;Prvi let: Parameter a;;Första flygning: Parameter a;;;Premier vol : Paramètre a;Primo volo: Parametro a;Πρώτη πτήση: Παράμετρος α;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.firstFlight_b.title;First Flight: Parameter b;Første flyvning: Parameter b;Erster Flug: Parameter b;Eerste vlucht: Parameter b;Prvi let: Parameter b;;Första flygning: Parameter b;;;Premier vol : Paramètre b;Primo volo: Parametro b;Πρώτη πτήση: Παράμετρος β;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.firstFlight_y.title;First Flight: Parameter y;Første flyvning: Parameter y;Erster Flug: Parameter y;Eerste vlucht: Parameter y;Prvi let: Parameter y;;Första flygning: Parameter y;;;Premier vol : Paramètre y;Primo volo: Parametro y;Πρώτη πτήση: Παράμετρος y;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.lower_threshold.title;Lower Temperature Threshold;Minimum temperatur;Unterer Temperaturschwellenwert;Laagste Temperatuur Drempelwaarde;Spodnji temperaturni prag;;Minimum temperatur;;;Seuil de température inférieur;Soglia di temperatura inferiore;Κατώτερο όριο θερμοκρασίας;;;
adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.secondFlight_a.title;Second Flight: Parameter a;Anden flyvning: Parameter a;Zweiter Flug: Parameter a;Tweede vlucht: Parameter a;Drugi let: Parameter a;;Andra flygning: Parameter a;;;Deuxième vol : Paramètre a;Secondo volo: Parametro a;Δεύτερη πτήση: Παράμετρος α;;;
