;KEY;default;dk;de;nl
0;adas.dss.0_0_4.name;IPM Decisions;IPM Decisions;IPM Decisions;IPM-Decisions
0;adas.dss.0_0_4.models.CARPPO.description;"THE PEST: Codling moth [Cydia pomonella] cause damage to fruit of apples, pears and other pome fruit. Larvae emerge from eggs laid on the surface of the fruit, and burrow inside. The surface blemish can reduce the value of fruit, internal damage renders the fruit unsellable.

THE DECISION: The DSS predicts the start of adult codling moth flight, enabling users to undertake targeted monitoring and/or mitigating actions to reduce the risk of damage to the crop. Typically interventions are more effective at the start of male flight, rather than at peak flight periods.   
THE MODEL: A 3-paramater non-linear regression model fits cumulative moth captures as a function of accumulated day degrees (Biofix 1st January) for all three of the male flights. The model predicts that 1st migration begins after 151 day degrees, 2nd migration begins after 673 day degrees, and 3rd migration begins after 1303 day degrees. The start of migration events are reported in the DSS warnings to the user. 
REGION: This DSS was adapted from work carried out in Greece, and is considered applicable, but not yet validated in,  Albania, Romania, Bosnia, Croatia, Italy, Macedonia, Montenegro, Portugal, San Marino, Slovenia, Slovakia, and Spain
THE PARAMETERS: The model uses Minimum and maximum temperature from the 1st of January.
SOURCE: Aristotle University, Greece. 
ASSUMPTIONS: There may be three flight periods in southern Europe, one or two in northern Europe. Predict flight does not relate to numbers of codling moth, or scale of damage caused.Where flight periods overlap, the highest current risk of new migration will be reported. 
REFERENCE: Damos et al. (2018) Bulletin of Insectology 71, 131-142 ";"SKADEDYRET: Æblevikler (Cydia pomonella) forårsager skade på frugt af æbler, pærer og anden kernefrugt. Larver kommer ud af æg lagt på overfladen af frugten og graver sig ind. Den resulterende skade kan reducere værdien af frugt eller gøre frugten usælgelig.

BESLUTNING: Denne DSS forudsiger starten for flyvning af voksne møl og gør brugeren i stand til at foretage målrettet monitering og/eller indgreb for at reducere risikoen for skade på afgrøden. Typisk er indgreb mere effektive i starten af hannens flyvning, snarere end hvor der er mest flyvning.
MODELLEN: En 3-parameter ikke-lineær regressionsmodel fitter den kumulative fangst af møl, som en funktion af akkumulerede graddage (Biofix 1. januar) for alle tre af hannens flyvninger. Modellen forudsiger at den første flyvning begynder efter 152 graddage, anden flyvning efter 673 dage og tredje flyvning efter 1303 graddage. Starten på migrationsbegivenheder er rapporteret i de advarsler som DSS sender til brugeren.
REGION: Denne DSS er adapteret fra arbejde lavet i Grækenland og anset som relevant, men ikke valideret, i Albanien, Romanien, Bosnien, Kroatien, Italien, Makadonien, Montenegro, Portugal, San Marino, Slovenien, Slovakiet og Spanien.
PARAMETRE: Modellen bruger minimums- og maksimumtemperatur fra 1. januar. 
KILDE: Aristoteles Universitet, Grækenland.
Antagelser: Der kan være tre flyveperioder i Sydeuropa, en eller to i Nordeuropa. Den forventede flyvning vedrører ikke antallet af æbleviklere eller omfanget af de forvoldte skader. Der hvor flyveperioder overlapper bliver den højeste nuværende risiko for ny flyvning rapporteret.
REFERENCE: Damos et al. (2018) Bulletin of Insectology 71, 131-142.";"SCHADERREGER: Der Apfelwickler [Cydia pomonella] schädigt die Früchte von Äpfeln, Birnen und anderem Kernobst. Die Larven schlüpfen aus Eiern, die auf der Oberfläche der Früchte abgelegt werden, und bohren sich ins Innere ein. Der Oberflächenschaden kann den Wert der Früchte mindern, der innere Schaden macht die Früchte unverkäuflich.

ENTSCHEIDUNG: Das EHS sagt den Beginn des Flugs der erwachsenen Apfelwickler voraus und ermöglicht es den Nutzern, gezielte Überwachungs- und/oder Bekämpfungsmaßnahmen zu ergreifen, um das Risiko von Schäden an der Ernte zu verringern. In der Regel sind Maßnahmen zu Beginn des Flugs der Männchen wirksamer als zu den Hauptflugzeiten.   
MODELL: Ein nicht-lineares 3-Parameter-Regressionsmodell passt die kumulativen Falterfänge als Funktion der akkumulierten Gradtage (Biofix 1. Januar) für alle drei Männerflüge an. Das Modell sagt voraus, dass die erste Wanderung nach 151 Gradtagen, die zweite Wanderung nach 673 Gradtagen und die dritte Wanderung nach 1303 Gradtagen beginnt. Der Beginn der Wanderungen wird in den EHS-Warnungen dem Benutzer angegeben.  
REGION: Dieses EHS basiert auf Arbeiten, die in Griechenland durchgeführt wurden, es gilt als anwendbar, wurde aber z.B. noch nicht in Albanien, Rumänien, Bosnien, Kroatien, Italien, Mazedonien, Montenegro, Portugal, San Marino, Slowenien, der Slowakei und Spanien validiert.
PARAMETER: Das Modell verwendet die Mindest- und Höchsttemperatur ab dem 1. Januar.
QUELLE: Aristoteles-Universität, Griechenland. 
ANNAHMEN: In Südeuropa kann es drei Flugperioden geben, in Nordeuropa eine oder zwei. Die 
Flugvorhersage steht in keinem Zusammenhang mit der Anzahl der Apfelwickler oder dem Ausmaß der verursachten Schäden. Wenn sich die Flugperioden überschneiden, wird das höchste aktuelle Risiko eines erneuten Zufluges angegeben. 
REFERENZ: Damos et al. (2018) Bulletin of Insectology 71, 131-142 ";"DE PEST: De fruitmot (Cydia pomonella) veroorzaakt schade aan appels, peren en ander pitfruit. De larven komen uit eitjes die op het oppervlak van het fruit zijn gelegd en graven zich in. De daaruit voortvloeiende schade kan de waarde van het fruit verminderen of het fruit onverkoopbaar maken.  
DE BESLISSING: Typisch zijn interventies doeltreffender bij het begin van de vlucht van de mannetjes, eerder dan tijdens de piekvluchtperiodes.  
HET MODEL: Een niet-lineair regressiemodel met 3 parameters past de cumulatieve motvangsten aan als functie van de geaccumuleerde daggraden voor alle drie de vluchten van de mannetjes. 
DE PARAMETERS: Het model maakt gebruik van minimum- en maximumtemperaturen vanaf 1 januari. 
BRON: Aristoteles Universiteit, Griekenland. 
AANNAMES: Er kunnen drie vluchtperioden zijn in Zuid-Europa, één of twee in Noord-Europa. De voorspelde vlucht houdt geen verband met het aantal fruitmotten of de omvang van de aangerichte schade.
"
1;adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.modelId.description;Must be CARPPO;Skal være CARPPO;Muss CARPPO sein;Moet CARPPO zijn
2;adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.modelId.title;Model Id;Model-id;Modell-ID;Model Id
3;adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.endDate.title;Model End Date (YYYY-MM-DD);Model Slutdato (ÅÅÅÅ-MM-DD);Modell-Enddatum (JJJJ-MM-TT);Einddatum model
4;adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.firstFlight_a.title;First Flight: Parameter a;Første flyvning: Parameter a;Erster Flug: Parameter a;Eerste vlucht: Parameter a
5;adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.firstFlight_b.title;First Flight: Parameter b;Første flyvning: Parameter b;Erster Flug: Parameter b;Eerste vlucht: Parameter b
6;adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.firstFlight_y.title;First Flight: Parameter y;Første flyvning: Parameter y;Erster Flug: Parameter y;Eerste vlucht: Parameter y
7;adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.lower_threshold.title;Lower Temperature Threshold;Minimum temperatur;Unterer Temperaturschwellenwert;Laagste Temperatuur Drempelwaarde
8;adas.dss.0_0_4.models.CARPPO.execution.input_schema.properties.optionalData.properties.secondFlight_a.title;Second Flight: Parameter a;Anden flyvning: Parameter a;Zweiter Flug: Parameter a;Tweede vlucht: Parameter a
