KEY;default;de;sl;nl;dk;se;gr;no;si;fi;lt;fr;it;pl;es;pt;si 
dk.seges.1_1.name;SEGES DSS models;SEGES/AU EHS-Modelle;SEGES/AU DSS modeli;SEGES/AU DSS-modellen;SEGES/AU DSS-modeller;SEGES/AU DSS-modeller;Μοντέλα SEGES/AU DSS;SEGES/AU DSS-modeller;;;;;;;;;
dk.seges.1_1.models.SEPTORIAHU.description;"THE PEST: Leaf blotch diseases of wheat can be caused by septoria tritici blotch (Zymoseptoria tritici) and staganospora nodorum blotch (Parastagonospora nodorum), which are both  favoured by wet conditions. 
THE DECISION: Fungicide treatments may need to be applied between stem extension and ear emergence, mainly to protect the upper leaves.  
THE MODEL: Weather data from GS 31 are used. The humidity model estimates risk of septoria tritici blotch infections in winter wheat. Risk of attack is assumed after 20 hours with continuous wetness. A wet hour is defined as minimum 0,2 mm precipitation in an hour or minimum 85% relative humidity. 
THE PARAMETERS:  Dates of key growth stages are given as default values, but these may not be correct for your location.  To obtain accurate risk predictions it is essential to click on the 'Edit parameters' button, enter the estimated dates of GS31 (first node detectable), GS32 (second node; third upper leaf emerging), GS33 (third node; second upper leaf emerging), GS37/39 (uppermost flag leaf emerging)  and GS75 (grain content milky), then click on the 'Save' button.  These estimated dates can be updated during the season as growth stages are reached. Adding information on septoria fungicide spray dates is vital for the model. This is also done in 'Edit parameters'.  Clicking on 'Save' will keep the spray dates entered.  After spraying, the model assumes that the crop is protected for 10 days.   
SOURCE: Created by Aahus University and SEGES and released in Denmark in 2017. Tested in Lithuania, Norway, Sweden, Finland and Denmark in 2018 and 2019. 
ASSUMPTIONS: septoria tritici blotch is present in the crop and periods with high humidity create risk for a damaging epidemic
";"SCHADERREGER: Blattfleckenkrankheiten bei Weizen können durch die Septoria-Blattdürre (Zymoseptoria tritici) und die Blatt-und Spelzenbräune  (Parastagonospora nodorum) verursacht werden, die beide durch feuchte Bedingungen begünstigt werden. 
ENTSCHEIDUNG: Möglicherweise müssen Fungizidbehandlungen zwischen dem Schossen und dem Ährenschieben durchgeführt werden, vor allem um die oberen Blätter zu schützen.  
MODELL: Es werden  Wetterdaten ab BBCH 31 verwendet. Das Feuchtigkeitsmodell schätzt das Risiko einer Septoria tritici-Infektion bei Winterweizen. Das Risiko eines Befalls wird nach 20 Stunden mit kontinuierlicher Nässe angenommen. Eine ausreichend feuchte Stunde ist definiert als mindestens 0,2 mm Niederschlag in einer Stunde oder mindestens 85 % relative Luftfeuchtigkeit. 
PARAMETER:  Die Daten der wichtigsten Wachstumsstadien werden als Standardwerte angegeben, die jedoch für Ihren Standort möglicherweise nicht korrekt sind.  Um genaue Risikovorhersagen zu erhalten, müssen Sie auf die Schaltfläche ""Parameter bearbeiten"" klicken, die geschätzten Daten für BBCH 31 (Ein-Knoten-Stadium), BBCH 32 (Zwei-Knoten-Stadium, Blatt F-2 erscheint), BBCH 33 (Drei-Knoten-Stadium, Blatt F-1 erscheint), BBCH 37/39 (Fahnenblatt spitz/geschoben) und BBCH 75 (Mitte Milchreife) eingeben und dann auf die Schaltfläche ""Speichern"" klicken.  Diese geschätzten Daten können im Laufe der Saison aktualisiert werden, wenn die Wachstumsstadien erreicht sind. Das Hinzufügen von Informationen über die Fungizid-Spritztermine ist für das Modell unerlässlich. Dies geschieht ebenfalls unter ""Parameter bearbeiten"".  Wenn Sie auf ""Speichern"" klicken, bleiben die eingegebenen Spritztermine erhalten.  Nach der Behandlung geht das Modell davon aus, dass der Bestand 10 Tage lang geschützt ist.  
QUELLE: Von der Aahus Universität und SEGES entwickelt und 2017 in Dänemark veröffentlicht. Getestet in Litauen, Norwegen, Schweden, Finnland und Dänemark in den Jahren 2018 und 2019. 
ANNAHMEN: Septoria tritici ist im Bestand vorhanden und Perioden mit hoher Luftfeuchtigkeit schaffen ein Risiko für eine schädigende Epidemie.";;"DE Ziekte: Bladvlekkenziekte bij tarwe kan worden veroorzaakt door Septoria tritici  (Zymoseptoria tritici) en Staganospora nodorum blotch (Parastagonospora nodorum), die beide worden bevorderd door natte omstandigheden. 
DE BESLISSING: Het kan nodig zijn om tussen het uitlopen van de stengel en het uitkomen van de aar een behandeling met fungiciden toe te passen, hoofdzakelijk om de bovenste bladeren te beschermen.  
HET MODEL: Weersgegevens van GS 31 worden gebruikt. Het vochtigheidsmodel schat het risico van septoria tritici blotch-infecties in wintertarwe. Het risico van aantasting wordt verondersteld na 20 uur met continue nattigheid. Een nat uur wordt gedefinieerd als minimaal 0,2 mm neerslag in een uur of minimaal 85% relatieve vochtigheid. 
DE PARAMETERS: Data van belangrijke groeistadia worden als standaardwaarden gegeven, maar het is mogelijk dat deze niet correct zijn voor uw locatie.  Voor nauwkeurige risicovoorspellingen is het essentieel om op de knop 'Edit parameters' te klikken, de geschatte data van GS31 (eerste stengelknoop voelbaar), GS32 (tweede knoop; derde bovenste blad komt op), GS33 (derde knoop; tweede bovenste blad komt op), GS37/39 (bovenste vlagblad komt op) en GS75 (korrelinhoud melkachtig) in te voeren en vervolgens op de knop 'Save' te klikken.  Deze geschatte data kunnen gedurende het seizoen worden bijgewerkt naarmate de groeistadia worden bereikt. Het toevoegen van informatie over de data waarop septoria-fungiciden worden gespoten, is essentieel voor het model. Dit gebeurt ook in ""Bewerk parameters"".  Als u op ""Opslaan"" klikt, blijven de ingevoerde spuitdata behouden.  Na de bespuiting gaat het model ervan uit dat het gewas 10 dagen beschermd is. 
BRON: Gemaakt door Aahus University en SEGES en uitgebracht in Denemarken in 2017. Getest in Litouwen, Noorwegen, Zweden, Finland en Denemarken in 2018 en 2019. 
ASSUMPTIES: septoria tritici blotch is aanwezig en perioden met een hoge luchtvochtigheid creëren risico voor een schadelijke epidemie
";"SKADEVOLDER: Bladpletsygdomme i hvede kan være forårsaget af septoria tritici blotch (Zymoseptoria tritici) og staganospora nodorum blotch (Parastagonospora nodorum), som begge er begunstiget af våde forhold. 
BESLUTNING: Det kan være nødvendigt at anvende fungicidbehandlinger mellem strækning og skridning, hovedsageligt for at beskytte de øverste blade. 
MODELLEN: Fugtighedsmodellen estimerer risikoen for septoria tritici pletinfektioner i vinterhvede. Risiko for angreb antages efter 20 timer med kontinuerlig høj fugtighed. En våd time defineres som mindst 0,2 mm nedbør på en time eller mindst 85% relativ luftfugtighed. 
PARAMETRENE: Der anvendes vejrdata fra GS 31. Derudover indtastes datoerne for forekomsten af vækststadier 31 og 32. Modellen beregner den forventede dato for de øvrige stadier. Dette kan justeres manuelt. Tilføjelse af oplysninger om fungicidsprøjtningsdatoer er afgørende for modellen. Efter sprøjtning antager modellen, at afgrøden er beskyttet i 10 dage. Tærsklerne for antal våde timer og relativ luftfugtighed kan justeres manuelt. 
KILDE: Lavet af Aahus Universitet og SEGES og udgivet i Danmark i 2017. Testet i Litauen, Norge, Sverige, Finland og Danmark i 2018 og 2019. 
ANTAGELSER: septoria tritici plet er til stede, og perioder med høj luftfugtighed skaber risiko for en skadelig epidemi";"SKADEGÖRAREN: Bladfläcksjukdomar hos vete kan orsakas av svartpricksjuka (Zymoseptoria tritici) och brunfläcksjuka (Parastagonospora nodorum), som båda gynnas av våta förhållanden.
BESLUTET: Fungicidbehandlingar kan behöva göras mellan stråskjutning och axgång, främst för att skydda de övre bladen.
MODELLEN: Väderdata från GS 31 änvänds. Fuktmodellen uppskattar risken för svartpricksjuka i höstvete. Risk för angrepp antas finnas efter 20 timmar med kontinuerligt hög fuktighet. En våt timme definieras som minst 0,2 mm nederbörd under en timme eller minst 85 % relativ luftfuktighet.
PARAMETRARNA: Datum för viktiga utvecklingsstadier ges som default-värden, men dessa kan andras för att passa din region. För att få korrekta riskvärden är det mycket viktigt att klicka på knappen ""Redigera parametrar"", lägga in uppskattade datum för GS 31 (första noden>2 cm) GS 32 (andra noden>2 cm), GS37/39 (flaggbladet just synligt) och GS 75 (mjölkmognad). och sedan klicka ""Spara"". Dessa uppskattade datum kan korrigeras under säsongen allteftersom de olika utvecklingsstadierna nås. Det är också mycket viktigt för modellen att lägga in datum för fungicidbehandlingar mot svartpricksjuka. detta görs också under ""Redigera parametrar"". Att klicka på ""Spara"" kommer att behålla de behandlingsdatum som läggs in. Efter fungicidbehandling förutsätter modellen att grödan är skyddad i 10 dagar.
KÄLLA: Skapad av Aahus Universitet och SEGES och släpptes i Danmark 2017. Testad i Litauen, Norge, Sverige, Finland och Danmark under 2018 och 2019.
ANTAGANDEN: Zymoseptoria tritici är närvarande och perioder med hög luftfuktighet skapar risk för allvarliga angrepp.";"Ο ΕΧΘΡΟΣ: Οι ασθένειες των κηλίδων των φύλλων του σιταριού μπορούν να προκληθούν από τους μύκητες Septoria tritici (Zymoseptoria tritici) και Staganospora nodorum (Parastagonospora nodorum), οι οποίοι ευνοούνται και οι δύο από τις υγρές συνθήκες.    
Η ΑΠΟΦΑΣΗ: Οι μυκητοκτόνες επεμβάσεις μπορεί να χρειαστεί να εφαρμοστούν μεταξύ της επιμήκυνσης του στελέχους και της εμφάνισης των στάχυων, κυρίως για την προστασία των ανώτερων φύλλων.
ΤΟ ΜΟΝΤΕΛΟ: Χρησιμοποιούνται μετεωρολογικά δεδομένα από το GS 31. Το μοντέλο υγρασίας εκτιμά τον κίνδυνο μολύνσεων από την Septoria tritici στο χειμερινό σιτάρι. Ο κίνδυνος προσβολής θεωρείται μετά από 20 ώρες με συνεχή υγρασία. Μια υγρή ώρα ορίζεται ως ελάχιστη βροχόπτωση 0,2 mm σε μια ώρα ή ελάχιστη σχετική υγρασία 85%.
ΠΑΡΑΜΕΤΡΟΙ: Χρησιμοποιούνται μετεωρολογικά δεδομένα από το GS 31. Το μοντέλο υγρασίας εκτιμά τον κίνδυνο μολύνσεων από την Septoria tritici στο χειμερινό σιτάρι. Ο κίνδυνος προσβολής θεωρείται μετά από 20 ώρες με συνεχή υγρασία. Μια υγρή ώρα ορίζεται ως ελάχιστη βροχόπτωση 0,2 mm σε μια ώρα ή ελάχιστη σχετική υγρασία 85%. 
ΟΙ ΠΑΡΑΜΕΤΡΟΙ: Οι ημερομηνίες των βασικών σταδίων ανάπτυξης δίνονται ως προεπιλεγμένες τιμές, αλλά αυτές μπορεί να μην είναι σωστές για την τοποθεσία σας.  Για να λάβετε ακριβείς προβλέψεις κινδύνου, είναι απαραίτητο να κάνετε κλικ στο κουμπί ""Edit parameters"" (Επεξεργασία παραμέτρων), να εισαγάγετε τις εκτιμώμενες ημερομηνίες των GS31 (πρώτος κόμβος ανιχνεύσιμος), GS32 (δεύτερος κόμβος- τρίτο ανώτερο φύλλο που αναδύεται), GS33 (τρίτος κόμβος- δεύτερο ανώτερο φύλλο που αναδύεται), GS37/39 (ανώτερο φύλλο σημαίας που αναδύεται) και GS75 (περιεκτικότητα κόκκων γαλακτώδης) και, στη συνέχεια, να κάνετε κλικ στο κουμπί ""Save"" (Αποθήκευση).  Αυτές οι εκτιμώμενες ημερομηνίες μπορούν να επικαιροποιηθούν κατά τη διάρκεια της σεζόν καθώς συμπληρώνονται τα στάδια ανάπτυξης. Η προσθήκη πληροφοριών σχετικά με τις ημερομηνίες ψεκασμού με μυκητοκτόνα κατά της σεπτορίωσης είναι ζωτικής σημασίας για το μοντέλο. Αυτό γίνεται επίσης στο 'Edit parameters' (Επεξεργασία παραμέτρων).  Κάνοντας κλικ στο ""Save"" (Αποθήκευση) θα διατηρηθούν οι καταχωρημένες ημερομηνίες ψεκασμού.  Μετά τον ψεκασμό, το μοντέλο υποθέτει ότι η καλλιέργεια προστατεύεται για 10 ημέρες.
ΠΗΓΗ: Δημιουργήθηκε από το Πανεπιστήμιο Aahus και το SEGES και κυκλοφόρησε στη Δανία το 2017. Δοκιμάστηκε στη Λιθουανία, τη Νορβηγία, τη Σουηδία, τη Φινλανδία και τη Δανία το 2018 και το 2019. 
ΠΑΡΑΔΟΧΕΣ: Η σεπτορίωση είναι παρούσα στη καλλιέργεια και οι περίοδοι με υψηλή υγρασία δημιουργούν κίνδυνο για μια επιζήμια επιδημία.";"SKADEGJØREREN: Bladflekksjukdommer i hvete kan forårsakes av hvetebladprikk (Zymoseptoria tritici) og  hveteaksprikk (Parastagonospora nodorum) som begge favoriseres av våte forhold. 
BESLUTNING: Fungicidbehandlinger kan være nødvendig mellom strekning og skyting for å beskytte de øverste bladene 
MODELLEN: Værdata fra GS 31 brukes. Fuktmodellen estimerer risiko for hvetebladprikk i høsthvete. Risiko for angrep antas etter 20 timer med kontinuerlig høy fuktighet. En fuktig time defineres som minst 0,2 mm nedbør på en time eller minst 85% relativ luftfuktighet.
PARAMETRENE: Datoer for viktige utviklingsstadier gis som default-verdier, men disse kan endres for å passe i din region. For å få riktige risikoverdier er det viktig å klikke på knappen ""Rediger parametere"", og legge inn estimerte datoer for GS31, GS32, GS33, GS37/39 og GS75, for deretter klikke på lagre.  De estimerte datoene kan oppdateres i løpet av sesongen. Å legge inn informasjon om tidspunkt for fungicidbehandling er avgjørende for modellen. Dette gjøres også under ""Rediger parametere"". Husk å lagre for å bevare datoer som er lagt inn. Etter en behandling antas det at kulturen er beskyttet i 10 dager. 
KILDE: Laget av Aarhus Universitet og SEGES, og ble lansert i Danmark i 2017. Testet i Litauen, Norge, Sverige, Finland og Danmark i 2018 og 2019.
ANTAGELSER: Zymoseptoria tritici er tilstede og perioder med høy luftfuktighet gir risiko for alvorlige angrep. ";"ŠKODLJIV ORGANIZEM: Pšenična listna pegavost (Zymoseptoria tritici) in rjavenje pšeničnih plev (Parastagonospora nodorum), ki jima ustrezajo vlažne razmere.
ODLOČITEV: Fungicide bo morda potrebno uporabiti med rastjo stebla in pojavom klasov, predvsem za zaščito zgornjih listov.
MODEL: Model uporablja vremenske podatke ob doseženi fenofazi BBCH 31. Model vlažnosti ocenjuje tveganje za okužbe s pšenično listno pegavostjo pri ozimni pšenici. Tveganje za okužbo se predpostavlja po 20 urah neprekinjene vlage. Mokra ura je opredeljena kot najmanj 0,2 mm padavin v eni uri ali najmanj 85 % relativna vlažnost.
PARAMETRI: Datumi ključnih faz rasti so podani kot privzete vrednosti, vendar za vašo lokacijo morda niso pravilni. Da bi dobili natančne napovedi tveganja, je potrebno klikniti na gumb ""Parametri modela"", vnesti ocenjene datume fenofazo BBCH 31 (1. kolence vsaj 1 cm nad mestom razraščanja), 32 (2. kolence vsaj 2 cm nad 1. kolencem), 33 (tretje kolence vsaj 2 cm nad 2. kolencem), GS37/39 (viden zgornji list(zastavičar), vendar je še zvit / stopnja zastavičarja: ploskev zgornjega lista zravnana, viden jeziček) in GS75 (srednja mlečna zrelost: vsebina zrn je mlečna, njihova velikost je končna, obarvana so zeleno), nato pa klikniti na gumb ""Shrani"". Te predvidene datume lahko med sezono posodabljate, ko se dosežejo faze rasti. Dodajanje informacij o datumih škropljenja s fungicidi proti septoriji je za model bistvenega pomena. Tudi to lahko storite v razdelku ""Parametri modela"". S klikom na gumb ""Shrani"" bodo vneseni datumi škropljenja ostali nespremenjeni. Po škropljenju model predvideva, da je posevek zaščiten 10 dni.  
VIR: Model sta razvila Univerza Aahus in SEGES, objavljen pa je bil na Danskem leta 2017. Testirano v Litvi, na Norveškem, Švedskem, Finskem in Danskem v letih 2018 in 2019.
PREDPOSTAVKE: Model predpostavlja, da je povzročitelj bolezni prisoten, obdobja z visoko vlažnostjo pa ustvarjajo tveganje za škodljivo epidemijo.
";;;"LA MALADIE : La septoriose du blé peut être causée par le champignon Septoria tritici (Zymoseptoria tritici) ou le champignon Staganospora nodorum (Parastagonospora nodorum), qui sont tous deux favorisés par les conditions humides.
LA DÉCISION : Il peut être nécessaire d'appliquer des traitements fongicides entre le début montaison et l'épiaison, principalement pour protéger les dernières feuilles supérieures.
LE MODÈLE : Les données météorologiques au stade de développement 31 sont utilisées. Le modèle d'humidité estime le risque d'infection dans le blé d'hiver.  Le risque d'attaque est supposé après 20 heures d'humidité continue. Une heure humide est définie comme une précipitation minimale de 0,2 mm en une heure ou une humidité relative minimale de 85%.
LES PARAMÈTRES : Les dates des principaux stades de développement sont données par défaut, mais il se peut qu'elles ne correspondent pas à votre situation.  Pour obtenir des prédictions de risque précises, il est essentiel de cliquer sur "" Modifier les paramètres "", d'entrer les dates estimées de stade 31 (premier nœud détectable), stade 32 (deuxième nœud ; troisième feuille supérieure émergente), stade 33 (troisième nœud ; deuxième feuille supérieure émergente), stade 37/39 (dernière efuille pointante) et stade 75 (grain laiteux), puis de cliquer sur le bouton ""Enregistrer "".  Ces dates estimées peuvent être mises à jour au cours de la saison, à mesure que les stades sont atteints. L'ajout d'informations sur les dates de pulvérisation fongicide contre la septoriose est essentiel pour le modèle. Cela se fait également dans ""Modifier les paramètres"".  En cliquant sur ""Enregistrer"", les dates de pulvérisation saisies sont conservées.  Après la pulvérisation, le modèle suppose que la culture est protégée pendant 10 jours.
SOURCE : Créé par l'université d'Aarhus et le SEGES et diffusé au Danemark en 2017. Testé en Lituanie, en Norvège, en Suède, en Finlande et au Danemark en 2018 et 2019.
Hypothèses : la septoriose est présente dans la culture et les périodes de forte humidité créent un risque d'épidémie dommageable.";"IL PARASSITA: Le malattie da macchia fogliare del grano possono essere causate da septoria tritici (Zymoseptoria tritici) e staganospora nodorum (Parastagonospora nodorum), entrambe favorite da condizioni umide. 
LA DECISIONE: potrebbe essere necessario applicare dei trattamenti fungicidi tra l'estensione del fusto e l'emergenza della spiga, soprattutto per proteggere le foglie superiori.  

IL MODELLO: Utilizzati i dati meteo di GS 31. Il modello di umidità stima il rischio di infezioni da septoria tritici nel grano invernale. Il rischio di attacco è ipotizzato dopo 20 ore di bagnatura continua. Un'ora di bagnatura è definita come una precipitazione minima di 0,2 mm in un'ora o un'umidità relativa minima dell'85%. 


I PARAMETRI: Le date delle principali fasi di crescita sono indicate come valori predefiniti, ma potrebbero non essere corrette per la vostra località.  Per ottenere previsioni accurate del rischio è essenziale fare clic sul pulsante ""Modifica parametri"", inserire le date stimate di GS31 (primo nodo rilevabile), GS32 (secondo nodo; terza foglia superiore emergente), GS33 (terzo nodo; seconda foglia superiore emergente), GS37/39 (foglia a bandiera più alta emergente) e GS75 (contenuto della granella lattiginoso), quindi fare clic sul pulsante ""Salva"".  Queste date stimate possono essere aggiornate nel corso della stagione, man mano che si raggiungono gli stadi di crescita. L'aggiunta di informazioni sulle date di irrorazione del fungicida per la septoriosi è fondamentale per il modello. Anche questo si può fare in ""Modifica parametri"".  Facendo clic su ""Salva"" si manterranno le date di irrorazione inserite.  Dopo l'irrorazione, il modello presume che la coltura sia protetta per 10 giorni. 
 
FONTE: Creato dalla Aahus University e da SEGES e rilasciato in Danimarca nel 2017. Testato in Lituania, Norvegia, Svezia, Finlandia e Danimarca nel 2018 e 2019. 
ASSUNZIONI: la macchia da septoria tritici è presente e i periodi con umidità elevata creano il rischio di un'epidemia dannosa.


";;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.date2ndUpperLeafEmerging.title;Date of 2nd upper leaf emerging (GS33) (YYYY-MM-DD);Datum des Drei-Knoten-Stadiums (BBCH 33) (JJJJ-MM-TT);;Datum verschijnen 2e bovenste blad (GS33) (JJJJ-MM-DD);Dato for det andet øverste blad, der vises (GS33) (ÅÅÅ-MM-DD);Datum för 2: a övre bladets framkomst (GS33) (ÅÅÅÅ-MM-DD);Ημερομηνία εμφάνισης του 2ου ανώτερου φύλλου (GS33) (ΕΕΕΕ-MM-ΗΗ);Dato for fremkomst av det nest øverste blad (GS33) (ÅÅÅÅ-MM-DD);Datum, ko je 3. kolence vsaj 2 cm nad 2. kolencem (fenofaza 33) (LLLL-MM-DD);;;Date d'émergence de la 2ème feuille supérieure (stade 33) (AAAA-MM-JJ);Data di comparsa della seconda foglia superiore (GS33) (AAAA-MM-GG);;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.date3rdUpperLeafEmerging.title;Date of 3rd upper leaf emerging (GS32) (YYYY-MM-DD);Datum des Zwei-Knoten-Stadiums (BBCH 32) (JJJJ-MM-TT);;Datum verschijnen 3e bovenste blad (GS32) (JJJJ-MM-DD);Dato for tredje øverste blad, der vises (GS32) (ÅÅÅ-MM-DD);Datum för 3: e övre bladets framkomst (GS32) (ÅÅÅÅ-MM-DD);Ημερομηνία εμφάνισης του 3ου ανώτερου φύλλου (GS33) (ΕΕΕΕ-MM-ΗΗ);Dato for fremkomst av det tredje øverste blad (GS32) (ÅÅÅÅ-MM-DD);Datum, ko je 2. kolence vsaj 2 cm nad 1. kolencem (fenofaza 32) (LLLLL-MM-DD);;;Date d'émergence de la 3e feuille supérieure (stade 32) (AAAA-MM-JJ);Data di comparsa della terza foglia superiore (GS33) (AAAA-MM-GG);;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateGs31.title;Date of growth stage 31 (YYYY-MM-DD);Datum des Ein-Knoten-Stadiums (BBCH 31) (JJJJ-MM-TT);;Datum van groeistadium 31 (JJJJ-MM-DD);Dato for vækststadie 31 (YYYY-MM-DD);Datum för tillväxtstadium 31 (ÅÅÅÅ-MM-DD);Ημερομηνία του σταδίου ανάπτυξης 31 (ΕΕΕΕ-MM-ΗΗ);Dato for GS 31 (ÅÅÅÅ-MM-DD);Datum, ko je 1. kolence vsaj 1 cm nad mestom razraščanja (fenofaza 31) (LLLL-MM-DD);;;Date du stade de développement 31 (AAAA-MM-JJ);Data della fase di crescita 31 (AAAA-MM-GG);;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateGs75.title;Grain filling (GS75) (YYYY-MM-DD);Datum Mitte Milchreife (BBCH 75) (JJJJ-MM-TT);;Datum waarop alle korrels volledig ontwikkeld zijn (GS75) (JJJJ-MM-DD);Dato for alle kerner fuldt udviklet (GS75) (ÅÅÅ-MM-DD);Datum för när alla kärnor fullt utvecklade (GS75) (ÅÅÅÅ-MM-DD);Ημερομηνία πλήρους ανάπτυξης όλων των κόκκων (GS75) (ΕΕΕΕ-MM-ΗΗ);Dato for alle kjerner fult utviklet (GS75) (ÅÅÅÅ-MM-DD);Datum, srednje mlečne zrelosti: vsebina zrn je mlečna, njihova velikost je končna, obarvana so zeleno (fenofaza 75) (LLLLL-MM-DD);;;Remplissage des grains (stade 75) (AAAA-MM-JJ);Data di sviluppo completo di tutti i chicchi (GS75) (AAAA-MM-GG);;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateSpraying1.title;Date of first spraying;Datum der ersten Behandlung;;Datum eerste bespuiting;Dato for første sprøjtning;Datum för första fungicidbehandling;Ημερομηνία πρώτου ψεκασμού;Dato for første sprøyting ;Datum prvega škropljenja;;;Date de la première pulvérisation;Data della prima irrorazione;;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateSpraying2.title;Date of second spraying;Datum der zweiten Behandlung;;Datum tweede bespuiting;Dato for anden sprøjtning;Datum för andra funbgicidbehandling;Ημερομηνία δεύτερου ψεκασμού;Dato for andre sprøyting;Datum drugega škropljenja;;;Date de la deuxième pulvérisation;Data della seconda irrorazione;;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateUpperLeafEmerging.title;Date of upper leaf emerging (GS37-39) (YYYY-MM-DD);Datum des Erscheinens des Fahnenblattes (BBCH 37-39) (JJJJ-MM-TT);;Datum waarop het vlagblad is verschenen (GS37-39) (JJJJ-MM-DD);Dato for fremkomst af øvre blad (GS37-39) (ÅÅÅ-MM-DD);Datum för flaggbladets framväxt (GS37-39) (ÅÅÅÅ-MM-DD);Ημερομηνία ανάδυσης του ανώτερου φύλλου (GS37-39) (ΕΕΕΕ-MM-ΗΗ);Dato for fremkomst av øvre blad (GS37-39) (ÅÅÅÅ-MM-DD);Datum pojava zgornjih listov (fenofaza 37-39) (LLLL-MM-DD);;;Date d'émergence de la feuille supérieure (stade 37-39) (AAAA-MM-JJ);Data di comparsa della foglia superiore (GS37-39) (AAAA-MM-GG);;;;
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.leafLifeTime.title;Expected life time of a leaf (in days);Erwartete Lebensdauer eines Blattes (in Tagen);;Verwachte levensduur van een blad (in dagen);Forventet levetid for et blad (i dage);Förväntad livslängd för ett blad (i dagar);Αναμενόμενη διάρκεια ζωής ενός φύλλου (σε ημέρες);Forventet levetid for et blad (i dager);Pričakovana življenjska doba lista (v dnevih);;;Durée de vie prévue d'une feuille (en jours);Durata di vita prevista di una foglia (in giorni);;;;
